image,sigma,algorithm,psnr,SSIM,Execution time (s)
5.1.09,45,swnlm,26.876638,0.956155,63.649000
5.1.09,45,cnlm,24.474476,0.926181,32.456000
5.1.09,50,noisy,14.122969,0.643921,n/a
5.1.09,50,swnlm,26.501118,0.952571,63.578000
5.1.09,50,cnlm,23.822591,0.915881,32.429000
5.1.09,55,noisy,13.335508,0.617991,n/a
5.1.09,55,swnlm,26.268961,0.949605,63.646000
5.1.09,55,cnlm,23.287903,0.905492,32.291000
5.1.09,60,noisy,12.540087,0.595130,n/a
5.1.09,60,swnlm,25.912783,0.945921,63.727000
5.1.09,60,cnlm,22.654027,0.893392,32.184000
4.1.03,0,original,inf,1.000000,n/a
4.1.03,5,noisy,34.122783,0.992906,n/a
4.1.03,5,swnlm,39.395050,0.997869,62.948000
4.1.03,5,cnlm,39.940743,0.998118,32.299000
4.1.03,10,noisy,28.140795,0.972884,n/a
4.1.03,10,swnlm,35.966268,0.995315,63.161000
4.1.03,10,cnlm,35.832637,0.995147,32.306000
4.1.03,15,noisy,24.599989,0.941981,n/a
4.1.03,15,swnlm,34.068999,0.992747,63.196000
4.1.03,15,cnlm,33.080490,0.990852,32.216000
4.1.03,20,noisy,22.141554,0.904312,n/a
4.1.03,20,swnlm,32.790136,0.990293,63.339000
4.1.03,20,cnlm,31.164363,0.985804,32.381000
4.1.03,25,noisy,20.100085,0.858295,n/a
4.1.03,25,swnlm,31.651053,0.987377,63.329000
4.1.03,25,cnlm,29.473714,0.979091,32.248000
4.1.03,30,noisy,18.585119,0.813872,n/a
4.1.03,30,swnlm,31.006208,0.985213,63.412000
4.1.03,30,cnlm,28.187964,0.971653,32.271000
4.1.03,35,noisy,17.230210,0.767811,n/a
4.1.03,35,swnlm,30.030991,0.981505,63.588000
4.1.03,35,cnlm,27.047511,0.963216,32.166000
4.1.03,40,noisy,16.077845,0.724641,n/a
4.1.03,40,swnlm,29.490637,0.978696,63.540000
4.1.03,40,cnlm,26.011305,0.952891,31.943000
4.1.03,45,noisy,15.062647,0.687049,n/a
4.1.03,45,swnlm,28.775184,0.975161,63.559000
4.1.03,45,cnlm,25.114898,0.943116,32.022000
4.1.03,50,noisy,14.097359,0.652449,n/a
4.1.03,50,swnlm,28.253581,0.972078,63.544000
4.1.03,50,cnlm,24.251827,0.931463,32.248000
4.1.03,55,noisy,13.272970,0.624637,n/a
4.1.03,55,swnlm,27.492976,0.966133,63.645000
4.1.03,55,cnlm,23.463403,0.917734,32.463000
4.1.03,60,noisy,12.578000,0.604243,n/a
4.1.03,60,swnlm,26.948672,0.962050,63.722000
4.1.03,60,cnlm,22.917659,0.908453,32.238000
7.1.01,0,original,inf,1.000000,n/a
7.1.01,5,noisy,34.134414,0.991901,n/a
7.1.01,5,swnlm,34.922947,0.993201,249.939000
7.1.01,5,cnlm,36.311320,0.995016,128.727000
7.1.01,10,noisy,28.113424,0.969085,n/a
7.1.01,10,swnlm,31.177672,0.983832,251.842000
7.1.01,10,cnlm,32.848840,0.988771,128.565000
7.1.01,15,noisy,24.601880,0.935067,n/a
7.1.01,15,swnlm,30.082001,0.978740,253.307000
7.1.01,15,cnlm,30.743607,0.981469,128.759000
7.1.01,20,noisy
